"Run","AvgSpotLen","Bases","BioSample","Experiment","GEO_Accession..exp.","Instrument","libType","ReleaseDate","Sample.Name","SRA.Study","BioProject","sex","stage","strain","genotype","target","antibody","replicate","Input_or_IP","matchedInputs","mergeInputs","matchedIPs","mergeIPs","basename"
"SRR947585",50,679919600,"SAMN02264754","SRX331348","GSM1195422","Illumina Genome Analyzer","SINGLE","2014-05-21T00:00:00Z","GSM1195422","SRP028489","PRJNA63455","herm-male","L3","N2","wild-type","H3K9acS10","ab12181","rep2","ChIP","SRR947583",FALSE,NA,FALSE,"SRR947585_L3_herm-male_H3K9acS10_ChIP_rep2"
"SRR192330",42,809087454,"SAMN00261246","SRX060165","GSM706164","Illumina Genome Analyzer II","SINGLE","2011-05-03T00:00:00Z","GSM706164","SRP006493","PRJNA63461","herm","L3","N2","wild-type","Input",NA,"rep1","Input",NA,FALSE,"SRR190694;SRR190695;SRR190704;SRR190705;SRR190713;SRR190714",FALSE,"SRR192330_L3_herm_Input_Input_rep1"
"SRR340085",36,372823164,"SAMN00710310","SRX094473","GSM779422","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779422","SRP007859","PRJNA63455","herm","L3","N2","wild-type","H3K36me3","AB9050 H3K36me3","rep1","ChIP","SRR340086",FALSE,NA,FALSE,"SRR340085_L3_herm_H3K36me3_ChIP_rep1"
"SRR340086",36,454384584,"SAMN00710311","SRX094474","GSM779423","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779423","SRP007859","PRJNA63455","herm","L3","N2","wild-type","Input",NA,"rep1","Input",NA,FALSE,"SRR340085;SRR340087",FALSE,"SRR340086_L3_herm_Input_Input_rep1"
"SRR340087",36,460677780,"SAMN00710312","SRX094475","GSM779424","Illumina Genome Analyzer II","SINGLE","2011-08-30T00:00:00Z","GSM779424","SRP007859","PRJNA63455","herm","L3","N2","wild-type","H3K36me3","AB9050 H3K36me3","rep2","ChIP","SRR340086",FALSE,NA,FALSE,"SRR340087_L3_herm_H3K36me3_ChIP_rep2"
"SRR849515",32,92634400,"SAMN02141852","SRX276909","GSM1138352","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138352","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep1","Input",NA,FALSE,"SRR849517",FALSE,"SRR849515_L3_herm_ZTF-11_Input_rep1"
"SRR849516",32,117951584,"SAMN02141853","SRX276910","GSM1138353","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138353","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep2","Input",NA,FALSE,"SRR849518",FALSE,"SRR849516_L3_herm_ZTF-11_Input_rep2"
"SRR849517",32,175832704,"SAMN02141854","SRX276911","GSM1138354","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138354","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep1","ChIP","SRR849515",FALSE,NA,FALSE,"SRR849517_L3_herm_ZTF-11_ChIP_rep1"
"SRR849518",32,182463104,"SAMN02141855","SRX276912","GSM1138355","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138355","SRP022262","PRJNA63455","herm","L3","OP236","unc119(ed3);wgIs236(elk-2::TY1 EGFP FLAG;unc119)","ZTF-11","GFP","rep2","ChIP","SRR849516",FALSE,NA,FALSE,"SRR849518_L3_herm_ZTF-11_ChIP_rep2"
"SRR849693",32,109656128,"SAMN02141872","SRX277024","GSM1138368","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138368","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep1","Input",NA,FALSE,"SRR849695",FALSE,"SRR849693_L3_herm_JUN-1_Input_rep1"
"SRR849694",32,111246720,"SAMN02141867","SRX277025","GSM1138369","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138369","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep2","Input",NA,FALSE,"SRR849696",FALSE,"SRR849694_L3_herm_JUN-1_Input_rep2"
"SRR849695",32,84748128,"SAMN02141868","SRX277026","GSM1138370","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138370","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep1","ChIP","SRR849693",FALSE,NA,FALSE,"SRR849695_L3_herm_JUN-1_ChIP_rep1"
"SRR849696",32,94451872,"SAMN02141869","SRX277027","GSM1138371","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1138371","SRP022314","PRJNA63455","herm","L3","OP234","unc119(ed3);wgIs234(T24H10.7:TY1 EGFP FLAG;unc119)","JUN-1","GFP","rep2","ChIP","SRR849694",FALSE,NA,FALSE,"SRR849696_L3_herm_JUN-1_ChIP_rep2"
